what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1425231397237
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1425231398602
activated,perspective,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.DebugPerspective",1425231407466
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425231416395
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425231422888
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425231429242
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425231437151
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.gotoLastEditPosition",1425231441683
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1425231444410
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1425231444573
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1425231444921
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1425231445209
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1425231445484
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1425231445976
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425231450013
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425231452818
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1425231452840
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425231454309
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425231455446
activated,perspective,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavaPerspective",1425232188338
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425232188360
activated,perspective,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.PDEPerspective",1425232189265
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1425232197267
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425232197362
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1425232197397
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425232201243
started,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1425232203333
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1425232203380
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1425232203383
started,bundle,org.eclipse.mylyn.pde.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.pde.ui",1425232203384
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1425232203653
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1425232209877
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1425232209942
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425232252312
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1425232252313
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1425232255537
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1425232255697
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1425232255852
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1425232266492
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1425232269624
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1425232271090
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1425232283242
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1425232284358
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1425232287304
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1425232288215
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425232294976
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425232369234
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425232373467
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425232377829
activated,editor,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.manifestEditor",1425232421970
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425232430201
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425232480168
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425232556557
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425232559329
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425232574631
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425232617824
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425232617883
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425232618064
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425232634569
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425232635481
activated,editor,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.manifestEditor",1425232636428
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1425232637265
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1425232639788
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425232640547
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1425232643917
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1425232644445
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1425232645294
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1425232688176
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425232694208
activated,editor,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.manifestEditor",1425232695162
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1425232717255
activated,view,org.eclipsercp.book.tools,,"org.eclipsercp.book.tools.RCPSamplesView",1425232726732
opened,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1425232730121
activated,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1425232730154
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1425232746238
activated,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1425232750417
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425232750574
activated,editor,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.manifestEditor",1425232753352
closed,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1425232753352
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425232753381
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425232758472
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1425232764429
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1425232767690
started,bundle,org.eclipse.mylyn.ide.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ui",1425232847927
activated,perspective,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.DebugPerspective",1425232847976
activated,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.DebugView",1425232850522
activated,perspective,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.PDEPerspective",1425232869043
activated,editor,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.manifestEditor",1425232869047
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1425232909585
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425232912458
